"Invoice_Number","Line_Item_Number","Customer_Number","Invoice_Date","Transaction_Type","Product_Number","Product_Class","Quantity_Sold","Sale_Price","Sales_Tax","Total_Amount"
"18186","18","419449","01/05/2016","IN","010102710","01",34,7.99,19.02,290.68
"18186","19","419449","01/05/2016","IN","052770015","05",8,0.40,0.22,3.42
"18186","20","419449","01/05/2016","IN","052720305","05",32,50.00,112.00,1712.00
"18186","21","419449","01/05/2016","IN","080100818","08",30,0.29,0.61,9.31
"18186","22","419449","01/05/2016","IN","052484435","05",37,3.79,9.82,150.05
"18186","23","419449","01/05/2016","IN","080123968","08",37,3.02,7.82,119.56
"18186","24","419449","01/05/2016","IN","023903712","02",20,14.95,20.93,319.93
"18186","25","419449","01/05/2016","IN","024112162","02",13,6.49,5.91,90.28
"18186","26","419449","01/05/2016","IN","060102106","06",31,32.98,71.57,1093.95
"18186","27","419449","01/05/2016","IN","060100356","06",23,7.98,12.85,196.39
"18186","28","419449","01/05/2016","IN","030309373","03",30,16.98,35.66,545.06
"18187","01","419449","01/05/2016","IN","040241314","04",37,25.98,67.29,1028.55
"18187","02","419449","01/05/2016","IN","030414313","03",23,59.98,96.57,1476.11
"18187","03","419449","01/05/2016","IN","030303343","03",33,12.98,29.98,458.32
"18187","04","419449","01/05/2016","IN","090069591","09",21,52.98,77.88,1190.46
"18187","05","419449","01/05/2016","IN","010155160","01",34,13.99,33.30,508.96
"18187","06","419449","01/05/2016","IN","080102918","08",25,0.44,0.77,11.77
"18187","07","419449","01/05/2016","IN","080126008","08",22,2.78,4.28,65.44
"18187","08","419449","01/05/2016","IN","080935298","08",22,27.98,43.09,658.65
"18187","09","419449","01/05/2016","IN","023903712","02",20,14.95,20.93,319.93
"18187","10","419449","01/05/2016","IN","024195262","02",28,6.98,13.68,209.12
"18187","11","419449","01/05/2016","IN","070104677","07",16,9.99,11.19,171.03
"18187","12","419449","01/05/2016","IN","060221506","06",36,12.99,32.73,500.37
"18187","13","419449","01/05/2016","IN","060221676","06",18,4.99,6.29,96.11
"18187","14","419449","01/05/2016","IN","040224984","04",7,13.98,6.85,104.71
"18187","15","419449","01/05/2016","IN","040240284","04",30,9.69,20.35,311.05
"18187","16","419449","01/05/2016","IN","040277154","04",33,51.98,120.07,1835.41
"18187","17","419449","01/05/2016","IN","010155150","01",30,12.99,27.28,416.98
"18187","18","419449","01/05/2016","IN","052210545","05",18,0.09,0.11,1.73
"18187","19","419449","01/05/2016","IN","052770015","05",8,0.40,0.22,3.42
"18187","20","419449","01/05/2016","IN","052208805","05",26,8.00,14.56,222.56
"18187","21","419449","01/05/2016","IN","080124518","08",36,3.12,7.86,120.18
"18187","22","419449","01/05/2016","IN","030324883","03",37,14.98,38.80,593.06
"18187","23","419449","01/05/2016","IN","080935428","08",29,58.98,119.73,1830.15
"18187","24","419449","01/05/2016","IN","130305603","13",70,22.98,112.60,1721.20
"18187","25","419449","01/05/2016","IN","090501551","09",23,2.99,4.81,73.58
"18187","26","419449","01/05/2016","IN","090507811","09",30,16.98,35.66,545.06
"18187","27","419449","01/05/2016","IN","052530155","05",12,0.04,0.03,0.51
"18187","28","419449","01/05/2016","IN","080123938","08",30,5.99,12.58,192.28
"18187","29","419449","01/05/2016","IN","060102066","06",19,32.98,43.86,670.48
"18188","01","504356","01/06/2016","IN","090069591","09",21,52.98,47.06,1159.64
"18188","02","504356","01/06/2016","IN","024100312","02",22,10.92,10.16,250.40
"18188","03","504356","01/06/2016","IN","024139372","02",26,7.93,8.72,214.90
"18188","04","504356","01/06/2016","IN","040225934","04",17,6.97,5.01,123.50
"18188","05","504356","01/06/2016","IN","040240284","04",30,9.69,12.30,303.00
"18188","06","504356","01/06/2016","IN","030324883","03",37,14.98,23.45,577.71
"18188","07","504356","01/06/2016","IN","052720305","05",32,50.00,67.68,1667.68
"18188","08","504356","01/06/2016","IN","052208805","05",26,8.00,8.80,216.80
"18188","09","504356","01/06/2016","IN","052484425","05",6,8.58,2.18,53.66
"18188","10","504356","01/06/2016","IN","010311990","01",58,3.99,9.78,241.20
"18188","11","504356","01/06/2016","IN","080102618","08",6,23.92,6.07,149.59
"18188","12","504356","01/06/2016","IN","080123968","08",37,3.02,4.73,116.47
"18188","13","504356","01/06/2016","IN","024128712","02",36,1.19,1.81,44.65
"18188","14","504356","01/06/2016","IN","024188432","02",28,32.87,38.93,959.29
"18188","15","504356","01/06/2016","IN","060102096","06",25,54.85,58.00,1429.25
"18188","16","504356","01/06/2016","IN","060102066","06",19,32.98,26.51,653.13
"18188","17","504356","01/06/2016","IN","040226054","04",18,10.95,8.34,205.44
"18188","18","504356","01/06/2016","IN","070104397","07",17,9.99,7.18,177.01
"18188","19","504356","01/06/2016","IN","070104677","07",16,9.99,6.76,166.60
"18188","20","504356","01/06/2016","IN","010134420","01",31,3.98,5.22,128.60
"18188","21","504356","01/06/2016","IN","090501541","09",31,5.97,7.83,192.90
"18188","22","504356","01/06/2016","IN","010102840","01",48,64.83,131.64,3243.48
"18188","23","504356","01/06/2016","IN","052720615","05",20,49.88,42.20,1039.80
"18188","24","504356","01/06/2016","IN","052484435","05",74,3.79,11.86,292.32
"18188","25","504356","01/06/2016","IN","080106218","08",35,2.98,4.41,108.71
"18188","26","504356","01/06/2016","IN","080123938","08",30,5.99,7.60,187.30
"18188","27","504356","01/06/2016","IN","080512778","08",35,46.87,69.39,1709.84
"18189","01","815062","01/07/2016","IN","080512778","08",35,46.87,65.62,1706.07
"18189","02","815062","01/07/2016","IN","040240664","04",36,39.98,57.57,1496.85
"18189","03","815062","01/07/2016","IN","040240284","04",30,9.69,11.63,302.33
"18189","04","815062","01/07/2016","IN","030302303","03",26,54.95,57.15,1485.85
"18189","05","815062","01/07/2016","IN","090509561","09",22,1.98,1.74,45.30
"18189","06","815062","01/07/2016","IN","010311990","01",29,3.99,4.63,120.34
"18190","01","419449","01/08/2016","IN","010311990","01",29,3.99,8.10,123.81
"18190","02","419449","01/08/2016","IN","010155170","01",17,10.99,13.08,199.91
"18190","03","419449","01/08/2016","IN","010207220","01",27,5.79,10.94,167.27
"18190","04","419449","01/08/2016","IN","010102840","01",24,64.83,108.91,1664.83
"18190","05","419449","01/08/2016","IN","052204515","05",28,10.00,19.60,299.60
"18190","06","419449","01/08/2016","IN","080100818","08",30,0.29,0.61,9.31
"18190","07","419449","01/08/2016","IN","024128712","02",36,1.19,3.00,45.84
"18190","08","419449","01/08/2016","IN","024128932","02",37,3.85,9.97,152.42
"18190","09","419449","01/08/2016","IN","060102096","06",25,54.85,95.99,1467.24
"18191","01","925007","01/04/2016","IN","060102096","06",25,54.85,82.28,1453.53
"18191","02","925007","01/04/2016","IN","010119040","01",37,13.99,31.06,548.69
"18193","01","090398","01/04/2016","IN","080102628","08",15,8.99,8.09,142.94
"18193","02","090398","01/04/2016","IN","180122158","18",18,5.09,5.50,97.12
"18193","03","090398","01/04/2016","IN","024100312","02",44,10.92,28.82,509.30
"18193","04","090398","01/04/2016","IN","023973042","02",12,4.80,3.46,61.06
"18193","05","090398","01/04/2016","IN","060100356","06",23,7.98,11.01,194.55
"18193","06","090398","01/04/2016","IN","060221506","06",36,12.99,28.06,495.70
"18193","07","090398","01/04/2016","IN","040220074","04",37,79.98,177.56,3136.82
"18193","08","090398","01/04/2016","IN","040240884","04",27,9.99,16.18,285.91
"18193","09","090398","01/04/2016","IN","040240664","04",36,39.98,86.36,1525.64
"18193","10","090398","01/04/2016","IN","093788411","09",13,3.98,3.10,54.84
"18193","11","090398","01/04/2016","IN","090501051","09",26,9.99,15.58,275.32
"18193","12","090398","01/04/2016","IN","060102096","06",25,54.85,82.28,1453.53
"18193","13","090398","01/04/2016","IN","010102840","01",24,64.83,93.36,1649.28
"18193","14","090398","01/04/2016","IN","052210545","05",18,0.09,0.10,1.72
"18193","15","090398","01/04/2016","IN","052204525","05",34,12.01,24.50,432.84
"18193","16","090398","01/04/2016","IN","080126308","08",30,0.39,0.70,12.40
"18193","17","090398","01/04/2016","IN","080126058","08",33,0.49,0.97,17.14
"18193","18","090398","01/04/2016","IN","080935298","08",22,27.98,36.93,652.49
"18193","19","090398","01/04/2016","IN","024121332","02",12,3.70,2.66,47.06
"18193","20","090398","01/04/2016","IN","060200306","06",36,16.98,36.68,647.96
"18193","21","090398","01/04/2016","IN","060100336","06",12,9.99,7.19,127.07
"18193","22","090398","01/04/2016","IN","040240284","04",30,9.69,17.44,308.14
"18193","23","090398","01/04/2016","IN","040241314","04",37,25.98,57.68,1018.94
"18193","24","090398","01/04/2016","IN","070104677","07",16,9.99,9.59,169.43
"18193","25","090398","01/04/2016","IN","070104327","07",22,9.99,13.19,232.97
"18193","26","090398","01/04/2016","IN","090010011","09",32,0.99,1.90,33.58
"18192","01","419449","01/05/2016","IN","010119040","01",37,13.99,36.23,553.86
"18192","02","419449","01/05/2016","IN","010155150","01",30,12.99,27.28,416.98
"18192","03","419449","01/05/2016","IN","052210545","05",18,0.09,0.11,1.73
"18192","04","419449","01/05/2016","IN","052720305","05",32,50.00,112.00,1712.00
"18192","05","419449","01/05/2016","IN","080102628","08",15,8.99,9.44,144.29
"18194","01","518008","01/05/2016","IN","024100312","02",44,10.92,26.42,506.90
"18194","02","518008","01/05/2016","IN","080126008","08",22,2.78,3.36,64.52
"18194","03","518008","01/05/2016","IN","060102106","06",62,32.98,112.46,2157.22
"18194","04","518008","01/05/2016","IN","040243224","04",14,75.35,58.02,1112.92
"18194","05","518008","01/05/2016","IN","040240664","04",36,39.98,79.16,1518.44
"18194","06","518008","01/05/2016","IN","030934423","03",27,7.79,11.57,221.90
"18194","07","518008","01/05/2016","IN","010310890","01",18,20.09,19.89,381.51
"18194","08","518008","01/05/2016","IN","010102840","01",24,64.83,85.58,1641.50
"18194","09","518008","01/05/2016","IN","052204525","05",34,12.01,22.46,430.80
"18194","10","518008","01/05/2016","IN","060221496","06",30,13.05,21.53,413.03
"18194","11","518008","01/05/2016","IN","040225934","04",17,6.97,6.52,125.01
"18194","12","518008","01/05/2016","IN","040224984","04",7,13.98,5.38,103.24
"18194","13","518008","01/05/2016","IN","070104177","07",22,10.04,12.15,233.03
"18194","14","518008","01/05/2016","IN","030414313","03",23,59.98,75.87,1455.41
"18194","15","518008","01/05/2016","IN","040241754","04",10,22.09,12.15,233.05
"18194","16","518008","01/05/2016","IN","030309373","03",30,16.98,28.02,537.42
"18194","17","518008","01/05/2016","IN","030302303","03",26,54.95,78.58,1507.28
"18194","18","518008","01/05/2016","IN","090506331","09",11,11.03,6.67,128.00
"18194","19","518008","01/05/2016","IN","010119040","01",37,13.99,28.47,546.10
"18194","20","518008","01/05/2016","IN","052484405","05",50,5.69,15.64,300.14
"18194","21","518008","01/05/2016","IN","052484435","05",37,3.79,7.71,147.94
"18195","01","784647","01/05/2016","IN","030414313","03",23,59.98,68.98,1448.52
"18195","02","784647","01/05/2016","IN","030934423","03",27,7.79,10.52,220.85
"18195","03","784647","01/05/2016","IN","024128712","02",36,1.19,2.14,44.98
"18195","04","784647","01/05/2016","IN","060221676","06",18,4.99,4.49,94.31
"18195","05","784647","01/05/2016","IN","040225014","04",25,10.98,13.73,288.23
"18195","06","784647","01/05/2016","IN","040241314","04",37,25.98,48.06,1009.32
"18195","07","784647","01/05/2016","IN","030412553","03",20,15.99,15.99,335.79
"18195","08","784647","01/05/2016","IN","090507811","09",30,16.98,25.47,534.87
"18196","01","811002","01/05/2016","IN","090507811","09",30,16.98,20.38,529.78
"18196","02","811002","01/05/2016","IN","030364163","03",37,69.98,103.57,2692.83
"18196","03","811002","01/05/2016","IN","030324883","03",37,14.98,22.17,576.43
"18196","04","811002","01/05/2016","IN","010119040","01",37,13.99,20.71,538.34
"18196","05","811002","01/05/2016","IN","010134420","01",31,3.98,4.94,128.32
"18196","06","811002","01/05/2016","IN","080100818","08",60,0.29,0.70,18.10
"18196","07","811002","01/05/2016","IN","080126308","08",30,0.39,0.47,12.17
"18196","08","811002","01/05/2016","IN","024128932","02",37,3.85,5.70,148.15
"18196","09","811002","01/05/2016","IN","024100312","02",22,10.92,9.61,249.85
"18196","10","811002","01/05/2016","IN","024108612","02",27,17.95,19.39,504.04
"18196","11","811002","01/05/2016","IN","060200306","06",36,16.98,24.45,635.73
"18196","12","811002","01/05/2016","IN","090508191","09",5,4.99,1.00,25.95
"18196","13","811002","01/05/2016","IN","040220074","04",37,79.98,118.37,3077.63
"18196","14","811002","01/05/2016","IN","030412553","03",20,15.99,12.79,332.59
"18196","15","811002","01/05/2016","IN","034255003","03",5,14.98,3.00,77.90
"18196","16","811002","01/05/2016","IN","010155150","01",30,12.99,15.59,405.29
"18196","17","811002","01/05/2016","IN","010155160","01",34,13.99,19.03,494.69
"18196","18","811002","01/05/2016","IN","052770015","05",8,0.40,0.13,3.33
"18196","19","811002","01/05/2016","IN","052720615","05",20,49.88,39.90,1037.50
"18196","20","811002","01/05/2016","IN","052484435","05",37,3.79,5.61,145.84
"18196","21","811002","01/05/2016","IN","080101018","08",22,0.50,0.44,11.44
"18196","22","811002","01/05/2016","IN","090509931","09",31,10.98,13.62,354.00
"18196","23","811002","01/05/2016","IN","080938748","08",33,3.12,4.12,107.08
"18196","24","811002","01/05/2016","IN","010102710","01",34,7.99,10.87,282.53
"18196","25","811002","01/05/2016","IN","080102918","08",25,0.44,0.44,11.44
"18196","26","811002","01/05/2016","IN","024130572","02",22,7.50,6.60,171.60
"18196","27","811002","01/05/2016","IN","060221496","06",30,13.05,15.66,407.16
"18196","28","811002","01/05/2016","IN","040241314","04",37,25.98,38.45,999.71
"18196","29","811002","01/05/2016","IN","070104677","07",16,9.99,6.39,166.23
"18197","01","820025","01/05/2016","IN","052720305","05",32,50.00,112.00,1712.00
"18197","02","820025","01/05/2016","IN","080106218","08",35,2.98,7.30,111.60
"18197","03","820025","01/05/2016","IN","080126058","08",33,0.49,1.13,17.30
"18197","04","820025","01/05/2016","IN","080123968","08",37,3.02,7.82,119.56
"18197","05","820025","01/05/2016","IN","060112276","06",22,12.98,19.99,305.55
"18197","06","820025","01/05/2016","IN","060200306","06",36,16.98,42.79,654.07
"18197","07","820025","01/05/2016","IN","040224984","04",7,13.98,6.85,104.71
"18197","08","820025","01/05/2016","IN","070104677","07",16,9.99,11.19,171.03
"18197","09","820025","01/05/2016","IN","010803760","01",38,6.99,18.59,284.21
"18197","10","820025","01/05/2016","IN","010155150","01",30,12.99,27.28,416.98
"18197","11","820025","01/05/2016","IN","052484435","05",37,3.79,9.82,150.05
"18197","12","820025","01/05/2016","IN","080938748","08",33,3.12,7.21,110.17
"18197","13","820025","01/05/2016","IN","080123938","08",30,5.99,12.58,192.28
"18197","14","820025","01/05/2016","IN","024121332","02",12,3.70,3.11,47.51
"18197","15","820025","01/05/2016","IN","040225934","04",17,6.97,8.29,126.78
"18197","16","820025","01/05/2016","IN","030324883","03",74,14.98,77.60,1186.12
"18197","17","820025","01/05/2016","IN","030303343","03",33,12.98,29.98,458.32
"18197","18","820025","01/05/2016","IN","010102840","01",24,64.83,108.91,1664.83
"18198","01","811002","01/05/2016","IN","010155150","01",30,12.99,15.59,405.29
"18198","02","811002","01/05/2016","IN","052204525","05",34,12.01,16.33,424.67
"18198","03","811002","01/05/2016","IN","080102618","08",6,23.92,5.74,149.26
"18198","04","811002","01/05/2016","IN","080126058","08",33,0.49,0.65,16.82
"18199","01","376005","01/06/2016","IN","080126058","08",33,0.49,0.77,16.94
"18199","02","376005","01/06/2016","IN","024106512","02",31,18.99,27.96,616.65
"18199","03","376005","01/06/2016","IN","024139372","02",26,7.93,9.79,215.97
"18199","04","376005","01/06/2016","IN","060112276","06",22,12.98,13.56,299.12
"18199","05","376005","01/06/2016","IN","060102066","06",19,32.98,29.76,656.38
"18199","06","376005","01/06/2016","IN","060102086","06",22,44.89,46.91,1034.49
"18199","07","376005","01/06/2016","IN","060221506","06",36,12.99,22.21,489.85
"18199","08","376005","01/06/2016","IN","040241754","04",10,22.09,10.49,231.39
"18199","09","376005","01/06/2016","IN","040241314","04",37,25.98,45.66,1006.92
"18200","01","836004","01/06/2016","IN","040241314","04",37,25.98,27.88,989.14
"18201","01","090398","01/06/2016","IN","040241314","04",37,25.98,57.68,1018.94
"18201","02","090398","01/06/2016","IN","030364163","03",37,69.98,155.36,2744.62
"18202","01","739622","01/07/2016","IN","030364163","03",37,69.98,103.57,2692.83
"18202","02","739622","01/07/2016","IN","010311990","01",29,3.99,4.63,120.34
"18202","03","739622","01/07/2016","IN","010134420","01",31,3.98,4.94,128.32
"18203","01","230575","01/08/2016","IN","010134420","01",31,3.98,6.33,129.71
"18203","02","230575","01/08/2016","IN","040225014","04",25,10.98,14.08,288.58
"18203","03","230575","01/08/2016","IN","040240664","04",36,39.98,73.84,1513.12
"18203","04","230575","01/08/2016","IN","030364163","03",37,69.98,132.83,2722.09
"18203","05","230575","01/08/2016","IN","090501541","09",31,5.97,9.49,194.56
"18203","06","230575","01/08/2016","IN","090010011","09",32,0.99,1.63,33.31
"18203","07","230575","01/08/2016","IN","010102710","01",34,7.99,13.94,285.60
"18203","08","230575","01/08/2016","IN","052210545","05",18,0.09,0.08,1.70
"18203","09","230575","01/08/2016","IN","052208805","05",26,8.00,10.67,218.67
"18203","10","230575","01/08/2016","IN","080935428","08",29,58.98,87.74,1798.16
"18203","11","230575","01/08/2016","IN","010803760","01",38,6.99,13.63,279.25
"18203","12","230575","01/08/2016","IN","060100306","06",2,14.96,1.53,31.45
"18203","13","230575","01/08/2016","IN","040240884","04",27,9.99,13.84,283.57
"18203","14","230575","01/08/2016","IN","030324883","03",37,14.98,28.43,582.69
"18203","15","230575","01/08/2016","IN","052504005","05",18,4.80,4.43,90.83
"18203","16","230575","01/08/2016","IN","080126308","08",30,0.39,0.60,12.30
"18203","17","230575","01/08/2016","IN","024188432","02",56,32.87,94.42,1935.14
"18203","18","230575","01/08/2016","IN","060102096","06",25,54.85,70.35,1441.60
"18203","19","230575","01/08/2016","IN","060102116","06",12,34.83,21.44,439.40
"18203","20","230575","01/08/2016","IN","040220074","04",37,79.98,151.81,3111.07
"18203","21","230575","01/08/2016","IN","040225934","04",17,6.97,6.08,124.57
"18204","01","478604","01/08/2016","IN","030324883","03",37,14.98,33.26,587.52
"18204","02","478604","01/08/2016","IN","060221676","06",18,4.99,5.39,95.21
"18204","03","478604","01/08/2016","IN","040220074","04",74,79.98,355.12,6273.64
"18204","04","478604","01/08/2016","IN","040240284","04",30,9.69,17.44,308.14
"18204","05","478604","01/08/2016","IN","010631140","01",13,3.59,2.80,49.47
"18204","06","478604","01/08/2016","IN","010226620","01",33,16.00,31.68,559.68
"18204","07","478604","01/08/2016","IN","010311800","01",8,54.99,26.40,466.32
"18204","08","478604","01/08/2016","IN","010155160","01",34,13.99,28.54,504.20
"18204","09","478604","01/08/2016","IN","010207220","01",27,5.79,9.38,165.71
"18204","10","478604","01/08/2016","IN","052204515","05",56,10.00,33.60,593.60
"18204","11","478604","01/08/2016","IN","052208805","05",26,8.00,12.48,220.48
"18204","12","478604","01/08/2016","IN","030303403","03",29,5.29,9.20,162.61
"18204","13","478604","01/08/2016","IN","052504005","05",18,4.80,5.18,91.58
"18204","14","478604","01/08/2016","IN","080126008","08",44,2.78,7.34,129.66
"18204","15","478604","01/08/2016","IN","024104312","02",14,13.50,11.34,200.34
"18204","16","478604","01/08/2016","IN","040241754","04",10,22.09,13.25,234.15
"18204","17","478604","01/08/2016","IN","090081001","09",23,79.50,109.71,1938.21
"18204","18","478604","01/08/2016","IN","010102840","01",24,64.83,93.36,1649.28
"18204","19","478604","01/08/2016","IN","080106218","08",35,2.98,6.26,110.56
"18204","20","478604","01/08/2016","IN","080100818","08",30,0.29,0.52,9.22
"18204","21","478604","01/08/2016","IN","030303343","03",33,12.98,25.70,454.04
"18204","22","478604","01/08/2016","IN","090501541","09",31,5.97,11.10,196.17
"18204","23","478604","01/08/2016","IN","090504761","09",16,12.98,12.46,220.14
"18204","24","478604","01/08/2016","IN","090509931","09",31,10.98,20.42,360.80
"18204","25","478604","01/08/2016","IN","080102918","08",25,0.44,0.66,11.66
"18204","26","478604","01/08/2016","IN","060200306","06",36,16.98,36.68,647.96
"18204","27","478604","01/08/2016","IN","090506331","09",11,11.03,7.28,128.61
"18205","01","090398","01/08/2016","IN","040276054","04",13,47.98,37.42,661.16
"18205","02","090398","01/08/2016","IN","030364163","03",37,69.98,155.36,2744.62
"18205","03","090398","01/08/2016","IN","090501541","09",31,5.97,11.10,196.17
"18206","01","242605","01/11/2016","IN","090501541","09",31,5.97,8.79,193.86
"18206","02","242605","01/11/2016","IN","090669611","09",34,18.02,29.10,641.78
"18206","03","242605","01/11/2016","IN","010119040","01",37,13.99,24.59,542.22
"18206","04","242605","01/11/2016","IN","010226620","01",33,16.00,25.08,553.08
"18206","05","242605","01/11/2016","IN","010102710","01",34,7.99,12.90,284.56
"18206","06","242605","01/11/2016","IN","010155170","01",17,10.99,8.87,195.70
"18208","01","549479","01/11/2016","IN","052484405","05",25,5.69,8.96,151.21
"18208","02","549479","01/11/2016","IN","052720615","05",20,49.88,62.85,1060.45
"18208","03","549479","01/11/2016","IN","080935428","08",29,58.98,107.76,1818.18
"18208","04","549479","01/11/2016","IN","080938748","08",33,3.12,6.49,109.45
"18208","05","549479","01/11/2016","IN","080435438","08",36,51.98,117.89,1989.17
"18208","06","549479","01/11/2016","IN","040226054","04",18,10.95,12.42,209.52
"18208","07","549479","01/11/2016","IN","040277154","04",33,51.98,108.07,1823.41
"18208","08","549479","01/11/2016","IN","070104347","07",11,9.96,6.90,116.46
"18208","09","549479","01/11/2016","IN","070104177","07",22,10.04,13.92,234.80
"18208","10","549479","01/11/2016","IN","010134420","01",31,3.98,7.77,131.15
"18208","11","549479","01/11/2016","IN","010155170","01",17,10.99,11.77,198.60
"18209","01","202028","01/11/2016","IN","080935428","08",29,58.98,72.35,1782.77
"18209","02","202028","01/11/2016","IN","080435438","08",36,51.98,79.16,1950.44
"18209","03","202028","01/11/2016","IN","040225014","04",25,10.98,11.61,286.11
"18209","04","202028","01/11/2016","IN","040241754","04",10,22.09,9.34,230.24
"18209","05","202028","01/11/2016","IN","070104677","07",16,9.99,6.76,166.60
"18209","06","202028","01/11/2016","IN","070104327","07",22,9.99,9.30,229.08
"18209","07","202028","01/11/2016","IN","030303403","03",29,5.29,6.49,159.90
"18209","08","202028","01/11/2016","IN","024130572","02",22,7.50,6.98,171.98
"18209","09","202028","01/11/2016","IN","024108612","02",27,17.95,20.50,505.15
"18209","10","202028","01/11/2016","IN","040240884","04",27,9.99,11.41,281.14
"18209","11","202028","01/11/2016","IN","040241314","04",37,25.98,40.66,1001.92
"18209","12","202028","01/11/2016","IN","030414283","03",24,25.92,26.31,648.39
"18209","13","202028","01/11/2016","IN","010226620","01",33,16.00,22.33,550.33
"18209","14","202028","01/11/2016","IN","052204515","05",28,10.00,11.84,291.84
"18209","15","202028","01/11/2016","IN","080106218","08",35,2.98,4.41,108.71
"18207","01","376005","01/12/2016","IN","010155170","01",17,10.99,8.87,195.70
"18207","02","376005","01/12/2016","IN","030303403","03",29,5.29,7.29,160.70
